Descriptores de cuentas usados en reporte MB1

Periodo: Año 2023 - Mes: Abril

CUENTA	GLOSA
141000200	          Operaciones con bancos del exterior
141000201	               Contratos de retroventa con otros bancos
141000202	               Contratos de retroventa con Bancos Centrales del exterior
141000203	               Derechos por préstamos de valores
141000300	          Operaciones con otras entidades en el país
141000301	               Contratos de retroventa          
141000302	               Derechos por préstamos de valores
141000400	          Operaciones con otras entidades en el exterior
141000401	               Contratos de retroventa
141000402	               Derechos por préstamos de valores
141000900	          Deterioro de valor acumulado de activos financieros a costo amortizado - Derechos por pactos de retroventa y prestamos de valores
141000901	               Activos financieros sin un aumento significativo del riesgo de crédito desde el reconocimiento inicial (fase 1)
141000902	               Activos financieros con un aumento significativo del riesgo de crédito desde el reconocimiento inicial, pero sin deterioro crediticio (fase 2)
141000903	               Activos financieros con deterioro crediticio (fase 3)
141500000	     Instrumentos financieros de deuda
141500100	          Del Estado y Banco Central de Chile
141500101	               Instrumentos financieros de deuda del Banco Central de Chile
141500102	               Bonos y pagarés de la Tesorería General de la República
141500109	               Otros instrumentos financieros de deuda fiscales
141500200	          Otros instrumentos financieros de deuda emitidos en el país
141500201	               Instrumentos financieros de deuda de otros bancos del país
141500202	               Bonos y efectos de comercio de empresas del país
141500209	               Otros instrumentos financieros de deuda emitidos en el país
141500300	          Instrumentos financieros de deuda emitidos en el exterior
141500301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
141500302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
141500303	               Instrumentos financieros de deuda de otros bancos en el exterior
141500304	               Bonos y efectos de comercio de empresas en el exterior
141500309	               Otros instrumentos financieros de deuda emitidos en el exterior
141500900	          Deterioro de valor acumulado de activos financieros a costo amortizado - Instrumentos financieros de deuda
141500901	               Activos financieros sin un aumento significativo del riesgo de crédito desde el reconocimiento inicial (fase 1)
141500902	               Activos financieros con un aumento significativo del riesgo de crédito desde el reconocimiento inicial, pero sin deterioro crediticio (fase 2)
141500903	               Activos financieros con deterioro crediticio (fase 3)
143000000	     Adeudado por bancos
143100100	          Banco del país
143100101	               Préstamos interbancarios de liquidez
143100102	               Préstamos interbancarios comerciales
143100103	               Sobregiros en cuentas corrientes
143100104	               Créditos comercio exterior exportaciones chilenas
143100105	               Créditos comercio exterior importaciones chilenas
143100106	               Créditos comercio exterior entre terceros países
143100107	               Depósitos no transferibles en bancos del país
143100190	               Otras acreencias con bancos del país
143150100	          Provisiones para créditos con bancos del país
143150101	               Provisiones evaluación individual - cartera normal
143150102	               Provisiones evaluación individual - cartera subestándar
143150103	               Provisiones evaluación individual - cartera en incumplimiento
143200100	          Bancos del exterior
143200101	               Préstamos interbancarios de liquidez
143200102	               Préstamos interbancarios comerciales
143200103	               Sobregiros en cuentas corrientes
143200104	               Créditos comercio exterior exportaciones chilenas
143200105	               Créditos comercio exterior importaciones chilenas
143200106	               Créditos comercio exterior entre terceros países
143200107	               Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados
143200108	               Otros depósitos no transferibles en bancos del exterior
143200190	               Otras acreencias con bancos del exterior
143250100	          Provisiones para créditos con bancos del exterior
143250101	               Provisiones evaluación individual - cartera normal
143250102	               Provisiones evaluación individual - cartera subestándar
143250103	               Provisiones evaluación individual - cartera en incumplimiento
143300100	          Banco Central de Chile
143300101	               Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con una contraparte central
143300102	               Otros depósitos en el Banco Central de Chile no disponibles
143300103	               Otras acreencias con el Banco Central de Chile
143400100	          Bancos Centrales del exterior
143400101	               Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados
143400102	               Otros depósitos en Bancos Centrales del exterior no disponibles
143400103	               Otras acreencias con Bancos Centrales del exterior
144000000	     Créditos y cuentas por cobrar a clientes
145000000	       Colocaciones comerciales
145400100	          Préstamos comerciales
145400101	               Préstamos en el país
145400102	               Préstamos en el exterior
145400103	               Créditos para infraestructura escolar Ley N° 20.845
145400104	               Préstamos con letras de crédito para fines generales
145400105	               Préstamos con mutuos hipotecarios endosables para fines generales
145400106	               Préstamos con mutuos hipotecarios no endosables para fines generales
145400200	          Créditos de comercio exterior
145400201	               Acreditivos negociados a plazo de exportaciones chilenas
145400202	               Otros créditos para exportaciones chilenas
145400203	               Acreditivos negociados a plazo de importaciones chilenas
145400204	               Otros créditos para importaciones chilenas
145400205	               Acreditivos negociados a plazo de operaciones entre terceros países
145400290	               Otros créditos para operaciones entre terceros países
145400300	          Deudores en cuentas corrientes
145400400	          Deudores por tarjetas de crédito
145400401	               Créditos por tarjetas de crédito
145400402	               Utilizaciones de tarjetas de crédito por cobrar
145400500	          Operaciones de factoraje
145400501	               Factoring con responsabilidad
145400502	               Factoring sin responsabilidad
145400600	          Operaciones de leasing financiero comerciales
145400601	               Leasing por bienes inmobiliarios
145400602	               Leasing por bienes no inmobiliarios
145400700	          Préstamos estudiantiles
145400701	               Créditos para estudios superiores Ley N° 20.027 (CAE)
145400702	               Créditos con garantía CORFO
145400703	               Otros créditos para estudios superiores
145400900	          Otros créditos y cuentas por cobrar
145400901	               Deudores por pago de obligaciones avaladas
145400902	               Deudores por boletas de garantía pagadas
145400990	               Otras cuentas por cobrar
146000000	       Colocaciones para vivienda
146000100	          Préstamos con letras de crédito para vivienda
146000200	          Préstamos con mutuos hipotecarios endosable
146000300	          Préstamos con mutuos financiados con bonos hipotecarios
146000400	          Otros créditos con mutuos para vivienda
146000401	               Otros créditos con mutuos no endosables para vivienda
146000402	               Otros créditos con mutuos para vivienda
146000500	          Operaciones de leasing financiero para vivienda
146000900	          Otros créditos y cuentas por cobrar
146000901	               Créditos complementarios a los mutuos
146000902	               Créditos de enlace
146000903	               Créditos provenientes de la ANAP
146000909	               Cuentas por cobrar a deudores para vivienda
148000000	       Colocaciones de consumo
148000100	          Créditos de consumo en cuotas
148000200	          Deudores en cuentas corrientes
148000300	          Deudores por tarjetas de crédito
148000301	               Créditos por tarjetas de crédito
148000302	               Utilizaciones de tarjetas de crédito por cobrar
148000400	          Operaciones de leasing financiero de consumo
148000900	          Otros créditos y cuentas por cobrar
148000901	               Créditos de consumo rotativos
148000902	               Cuentas por cobrar a deudores de consumo
149000000	       Provisiones constituidas por riesgo de crédito
149500100	          Provisiones de colocaciones comerciales
149500101	               Provisiones evaluación individual - cartera normal
149500102	               Provisiones evaluación individual - cartera subestándar
149500103	               Provisiones evaluación individual - cartera en incumplimiento
149500104	               Provisiones evaluación grupal - cartera normal
149500105	               Provisiones evaluación grupal - cartera en incumplimiento
149500109	               Provisiones por deducible de garantías de FOGAPE Covid-19
149600100	          Provisiones de colocaciones para vivienda
149600101	               Provisiones evaluación grupal - cartera normal
149600102	               Provisiones evaluación grupal - cartera en incumplimiento
149700100	          Provisiones de colocaciones de consumo
149700101	               Provisiones evaluación grupal - cartera normal
149700102	               Provisiones evaluación grupal - cartera en incumplimiento
500000000	TOTAL COLOCACIONES 
505000000	TOTAL COLOCACIONES A COSTO AMORTIZADO
150000000	INVERSIONES EN SOCIEDADES
150000100	          Sociedades controladas en el país
150000200	          Sociedades controladas en el exterior
150000201	               Sucursales controladas en el exterior
150000202	               Otras sociedades controladas en el exterior
150000300	          Sociedades con influencia significativa en el país
150000400	          Sociedades con influencia significativa en el exterior
150000500	          Inversiones en sociedades como un negocio conjunto en el país
150000600	          Inversiones en sociedades como un negocio conjunto en el exterior
150000700	          Inversiones minoritarias en otras sociedades en el país
150000800	          Inversiones minoritarias en otras sociedades en el exterior
160000000	ACTIVOS INTANGIBLES
160000100	          Goodwill por combinaciones de negocio
160000200	          Otros intangibles originados en combinaciones de negocios
160000201	               Relación con clientes
160000202	               Contrato de exclusividad
160000203	               Depósitos estables (“core deposit”)
160000204	               Derecho a usar marcas
160000205	               Derecho a usar canales
160000206	               Contrato para recaudación de servicios
160000207	               Software o programas computacionales
160000208	               Derechos de servicios de créditos hipotecarios (“mortgage servicing rights”)
160000209	               Otros intangibles
160000219	               Amortizaciones acumuladas
160000300	          Otros activos intangibles originados en forma independiente
160000301	               Software o programas computacionales adquiridos en forma independiente
160000302	               Software o programas computacionales generados internamente
160000303	               Derechos de servicios de créditos hipotecarios (“mortgage servicing rights”)
160000309	               Otros intangibles
160000319	               Amortizaciones acumuladas
170000000	ACTIVOS FIJOS
170000100	          Edificios y terrenos
170000101	               Edificios
170000102	               Terrenos
170000119	               Depreciaciones acumuladas
170000200	          Otros activos fijos
170000201	               Equipos
170000209	               Otros activos fijos
170000219	               Depreciaciones acumuladas
175000000	ACTIVOS POR DERECHO A USAR BIENES EN ARRENDAMIENTO
175000100	          Edificios y terrenos
175000101	               Edificios
175000102	               Terrenos
175000119	               Depreciaciones acumuladas
175000200	          Mejoras en inmuebles arrendados
175000201	               Mejoras en inmuebles arrendados
175000219	               Depreciaciones acumuladas
175000300	          Otros activos fijos
175000301	               Equipos
175000309	               Otros activos fijos
175000319	               Depreciaciones acumuladas
175000400	          Otros activos intangibles
175000401	               Programas computacionales
175000409	               Otros intangibles
175000419	               Amortizaciones acumuladas
180000000	IMPUESTOS CORRIENTES
185000000	IMPUESTOS DIFERIDOS
190000000	OTROS ACTIVOS
190000100	          Activos para ceder en leasing financiero como arrendador
190000101	               Cartera comercial
190000102	               Cartera vivienda
190000103	               Cartera consumo
190000200	          Garantías en efectivo entregadas por operaciones financieras de derivados
190000201	               Garantías en efectivo entregadas por operaciones financieras de derivados con una entidad de contraparte central en el país
190000202	               Garantías en efectivo entregadas por operaciones financieras de derivados con una entidad de contraparte central en el exterior
190000203	               Garantías en efectivo entregadas por operaciones financieras de derivados con otras contrapartes en el país
190000204	               Garantías en efectivo entregadas por operaciones financieras de derivados con otras contrapartes en el exterior
190000300	          Deudores por intermediación de instrumentos financieros
190000301	               Deudores por intermediación de operaciones a término
190000302	               Deudores por intermediación de operaciones a plazo (simultaneas)
190000303	               Otras cuentas por cobrar por intermediación de instrumentos financieros
190000400	          Cuentas por cobrar por uso de tarjetas de pago con provisión de fondos
190000401	               Comisiones por cobrar a titulares o portadores de tarjetas de pago con provisión de fondos de tarjetas nominativas
190000402	               Comisiones por cobrar a titulares o portadores de tarjetas de pago con provisión de fondos de tarjetas innominadas
190000500	          Cuentas por cobrar a terceros
190000501	               Cuentas por cobrar a sociedades con influencia significativa o negocio conjunto por servicios prestados
190000502	               Cuentas por cobrar a otras sociedades con participación minoritaria por servicios prestados
190000503	               Cuentas por cobrar a la Tesorería General de la República y otros organismos fiscales
190000504	               Cuentas por cobrar relacionado con préstamos estudiantiles
190000505	               Cuentas por cobrar relacionado con operaciones de leasing financiero
190000509	               Otras cuentas y documentos por cobrar a terceros
190000600	          Cuentas por cobrar a filiales del banco por servicios prestados (aplica solo a nivel individual del banco)
190000700	          Propiedades de inversión
190000701	               Propiedades de inversión
190000702	               Depreciaciones acumuladas
190000800	          IVA crédito fiscal por cobrar
190000900	          Gastos pagados por anticipado
190001000	          Ajustes de valorización por macro coberturas
190001100	          Activos para respaldar obligaciones por planes post-empleo de beneficios definidos
190001200	          Activo por ingresos de actividades habituales procedentes de contratos con clientes
190001300	          Inversiones en oro
190001400	          Otras garantías en efectivo entregadas
190001500	          Operaciones pendientes
190002900	          Otros activos
192500100	          Deterioro de valor acumulado respecto de otros activos por cobrar
192500101	               Otros activos sin un aumento significativo del riesgo de crédito desde el reconocimiento inicial (fase 1)
192500102	               Otros activos con un aumento significativo del riesgo de crédito desde el reconocimiento inicial, pero sin deterioro crediticio (fase 2)
192500103	               Otros activos con deterioro crediticio (fase 3)
195000000	ACTIVOS NO CORRIENTES Y GRUPOS ENAJENABLES PARA LA VENTA
195000100	          Bienes recibidos en pago o adjudicados en remate judicial
195000101	               Bienes recibidos en pago
195000102	               Bienes adjudicados en remate judicial
195000103	               Provisiones por bienes recibidos en pago o adjudicados en remate judicial
195000200	          Activos no corrientes para la venta
195000201	               Inversiones en sociedades
195000202	               Activos intangibles
195000203	               Activos fijos
195000204	               Activos por recuperación de bienes cedidos en operaciones de leasing financiero
195000219	               Otros activos
195000300	          Grupos enajenables para la venta
200000000	TOTAL PASIVOS
207000000	OPERACIONES CON LIQUIDACION EN CURSO
207000100	          Transferencias de fondos en curso con una contraparte central
207000101	               Fondos pendientes de transferencia por operaciones en la cámara de swaps
207000102	               Fondos pendientes de transferencia por operaciones en la cámara de forwards
207000200	          Transferencias de fondos en curso a través de una cámara de compensación de alto valor
207000300	          Otras transferencias de fondos en curso con Bancos u Otros
207000301	               Pagos de contrapartes por liquidar - Bancos
207000309	               Divisas pendientes de transferencia - Bancos
207000311	               Pagos de contrapartes por liquidar - Otros
207000319	               Divisas pendientes de transferencia - Otros
210000000	PASIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
211000100	          Contratos de derivados financieros
211000101	               Forwards
211000102	               Swaps
211000103	               Opciones Call
211000104	               Opciones Put
211000105	               Futuros
211000190	               Otros
213000100	          Otros instrumentos financieros
213000101	               Depósitos y otras obligaciones a la vista
213000102	               Depósitos y otras captaciones a plazo
213000103	               Instrumentos de deuda emitidos
213000109	               Otros
218000000	PASIVOS FINANCIEROS DESIGNADOS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
218000001	               Depósitos y otras obligaciones a la vista
218000002	               Depósitos y otras captaciones a plazo
218000003	               Instrumentos de deuda emitidos
218000009	               Otros
230000000	CONTRATOS DE DERIVADOS FINANCIEROS PARA COBERTURA CONTABLE
230000100	          Contratos de derivados financieros para cobertura contable
230000101	               Forwards
230000102	               Swaps
230000103	               Opciones Call
230000104	               Opciones Put
230000105	               Futuros
230000190	               Otros
240000000	PASIVOS FINANCIEROS A COSTO AMORTIZADO
241000000	     Depósitos y otras obligaciones a la vista
241000100	          Cuentas corrientes
241000101	               Cuentas corrientes de bancos del país
241000102	               Cuentas corrientes de bancos del exterior
241000103	               Cuentas corrientes de otras personas jurídicas
241000104	               Cuentas corrientes de personas naturales
241000200	          Cuentas de depósito a la vista
241000201	               Cuentas de ahorro a la vista
241000202	               Cuentas a la vista
241000300	          Otros depósitos a la vista
241000301	               Vales a la vista
241000400	          Obligaciones por cuentas de provisión de fondos para tarjetas de pago
241000401	               Cuentas de pago con provisión de fondos asociadas a tarjetas nominativas
241000402	               Cuentas de pago con provisión de fondos asociadas a tarjetas innominadas
241000500	          Otras obligaciones a la vista
241000501	               Préstamos otorgados para financiamiento de estudios superiores por enterar a los establecimientos educacionales.
241000502	               Obligaciones por créditos hipotecarios otorgados por enterar a otros bancos y/o inmobiliarias
241000503	               Obligaciones por otros créditos otorgados por enterar a otros bancos y/o al beneficiario del préstamo.
241000504	               Depósitos por consignaciones judiciales
241000505	               Boletas de garantías pagaderas a la vista
241000506	               Recaudaciones y cobranzas efectuadas por enterar
241000507	               Órdenes de pago pendientes
241000508	               Retenciones judiciales sobre obligaciones a la vista
241000509	               Pagos recibidos a cuenta de créditos por liquidar
241000510	               Saldos inmovilizados artículo 156 LGB
241000511	               Depósitos a plazo vencidos
241000512	               Acreencias vencidas por cuentas de provisión de fondos para tarjetas de pago innominadas
241000513	               Acreencias sin movimiento por cuentas de provisión de fondos para tarjetas de pago nominativas
241000590	               Otras obligaciones a la vista
242000000	     Depósitos y otras captaciones a plazo
242000100	          Depósitos a plazo
242000200	          Cuentas de ahorro a plazo
242000201	               Cuentas de ahorro a plazo con giro diferido
242000202	               Cuentas de ahorro a plazo con giro incondicional
242000300	          Otros saldos acreedores a plazo
242000301	               Boletas de garantías pagaderas con 30 días de aviso
242000302	               Depósitos en cuentas “overnight”
242000390	               Otros
243000000	     Obligaciones por pactos de retrocompra y préstamos de valores
243000100	          Operaciones con bancos del país
243000101	               Contratos de retrocompra con otros bancos
243000102	               Contratos de retrocompra con Banco Central de Chile
243000103	               Obligaciones por préstamos de valores
243000200	          Operaciones con bancos del exterior
243000201	               Contratos de retrocompra con otros bancos
243000202	               Contratos de retrocompra con Bancos Centrales del exterior
243000203	               Obligaciones por préstamos de valores
243000300	          Operaciones con otras entidades en el país
243000301	               Contratos de retrocompra
243000302	               Obligaciones por préstamos de valores
243000400	          Operaciones con otras entidades en el exterior
243000401	               Contratos de retrocompra
243000402	               Obligaciones por préstamos de valores
244000000	     Obligaciones con bancos
244250000	       Bancos del país
244250100	          Financiamientos de comercio exterior
244250101	               Financiamientos para exportaciones chilenas
244250102	               Financiamientos para importaciones chilenas
244250103	               Obligaciones por operaciones entre terceros países
244250200	          Préstamos y otras obligaciones
244250201	               Préstamos interbancarios de liquidez
244250202	               Préstamos interbancarios comerciales
244250203	               Sobregiros en cuentas corrientes
244250204	               Depósitos a plazo no transferibles
244250209	               Otras obligaciones
244500000	       Bancos del exterior
244500100	          Financiamientos de comercio exterior
244500101	               Financiamientos para exportaciones chilenas
244500102	               Financiamientos para importaciones chilenas
244500103	               Obligaciones por operaciones entre terceros países
244500200	          Préstamos y otras obligaciones
244500201	               Préstamos interbancarios de liquidez
244500202	               Préstamos interbancarios comerciales
244500203	               Sobregiros en cuentas corrientes
244500204	               Depósitos a plazo no transferibles
244500209	               Otras obligaciones
244700000	       Banco Central de Chile
244700100	          Préstamos y otras obligaciones
244700200	          Líneas de crédito por reprogramación de deudas
244900000	       Bancos Centrales del exterior
244900100	          Préstamos y otras obligaciones
244900200	          Líneas de crédito por reprogramación de deudas
245000000	     Instrumentos financieros de deuda emitidos
245000100	          Letras de Créditos
245000101	               Letras de crédito para vivienda
245000102	               Letras de crédito para fines generales
245000200	          Bonos
245000201	               Bonos corrientes
245000203	               Bonos hipotecarios
246000000	     Otras obligaciones financieras
246000100	          Otras obligaciones financieras con el sector público
246000101	               Financiamientos de CORFO
246000102	               Obligaciones con otros organismos gubernamentales
246000200	          Otras obligaciones financieras en el país
246000201	               Adeudado a establecimientos afiliados por el uso de tarjetas de crédito
246000202	               Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas nominativas
246000203	               Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos de tarjetas innominadas
246000204	               Adeudado a operadoras por servicios de operación de tarjetas de débito y crédito
246000205	               Adeudado a operadoras por servicios de operación de tarjetas de pago con provisión de fondos nominativas
246000206	               Adeudado a operadoras por servicios de operación de tarjetas de pago con provisión de fondos innominadas
246000207	               Adeudado al licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
246000208	               Obligaciones a favor de exportadores chilenos
246000290	               Otros créditos obtenidos en el país
246000300	          Otras obligaciones financieras con el exterior
246000301	               Adeudado a establecimientos afiliados por el uso de tarjetas
246000302	               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)
246000303	               Adeudado al licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)
246000304	               Obligaciones a favor de exportadores extranjeros
246000305	               Adeudado a organismos internacionales
246000390	               Otros créditos obtenidos en el exterior
250000000	OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO
255000000	INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
255000100	          Bonos subordinados
255000101	               Bonos subordinados con reconocimiento transitorio 
255000102	               Bonos subordinados
255000200	          Bonos sin plazo fijo de vencimiento
255000300	          Acciones preferentes
260000000	PROVISIONES POR CONTINGENCIAS
260000100	          Provisiones por obligaciones de beneficios a empleados
260000101	               Provisión beneficios a empleados de corto plazo
260000102	               Provisión beneficios a empleados post-empleo
260000103	               Provisión beneficios a empleados de largo plazo
260000104	               Provisión beneficios a empleados por término de contrato laboral
260000105	               Provisión pagos a empleados basados en acciones o instrumentos de patrimonio
260000106	               Provisión obligaciones por planes post-empleo de contribución definida
260000107	               Provisión obligaciones por planes post-empleo de beneficios definidos
260000109	               Provisión de otras obligaciones del personal
260000200	"          Provisiones de una sucursal bancaria extranjera para remesas de 	utilidades a su casa matriz"
260000300	          Provisiones por planes de reestructuración
260000400	          Provisiones por juicios y litigios
260000500	          Provisiones por obligaciones de programas de fidelización y méritos para clientes
260000600	          Provisiones por riesgo operacional
260000900	          Otras provisiones por otras contingencias
265000000	PROVISIONES PARA DIVIDENDOS, PAGO DE INTERESES Y REAPRECIACIÓN DE INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS
265000100	          Provisiones para dividendos
265000101	               Provisión para pago de dividendos de acciones comunes
265000102	               Provisión para pago de dividendos de acciones preferentes
265000200	          Provisión para pago de intereses de bonos sin plazo fijo de vencimiento 
